X,Y,Z
-0.19,0.11,0.22
-0.21,0.11,0.25
-0.21,0.11,0.26
-0.22,0.12,0.27
-0.23,0.12,0.28
-0.23,0.12,0.3
-0.24,0.12,0.33
-0.24,0.12,0.34
-0.25,0.12,0.36
-0.25,0.12,0.37
-0.26,0.12,0.39
-0.26,0.12,0.42
-0.26,0.12,0.43
-0.27,0.12,0.45
-0.27,0.12,0.46
-0.27,0.12,0.48
-0.28,0.12,0.51
-0.28,0.12,0.52
-0.28,0.12,0.54
-0.28,0.11,0.55
-0.29,0.11,0.57
-0.29,0.09999999,0.6
-0.29,0.09999999,0.62
-0.29,0.09999999,0.63
-0.29,0.09,0.65
-0.29,0.09,0.66
-0.29,0.09,0.7
-0.3,0.09,0.71
-0.3,0.09999999,0.72
-0.3,0.09999999,0.74
-0.3,0.11,0.77
-0.3,0.11,0.79
-0.31,0.12,0.8
-0.31,0.12,0.81
-0.31,0.12,0.83
-0.31,0.12,0.84
-0.32,0.12,0.87
-0.32,0.12,0.88
-0.33,0.13,0.9
-0.33,0.13,0.91
-0.33,0.13,0.92
-0.34,0.13,0.94
-0.35,0.13,0.95
-0.35,0.13,0.96
-0.36,0.13,0.98
-0.37,0.13,0.9899999
-0.38,0.13,1.01
-0.39,0.12,1.02
-0.39,0.12,1.03
-0.4,0.12,1.03
-0.41,0.12,1.05
-0.42,0.12,1.06
-0.43,0.12,1.07
-0.44,0.12,1.08
-0.45,0.11,1.09
-0.47,0.11,1.1
-0.48,0.11,1.11
-0.49,0.11,1.12
-0.5,0.11,1.13
-0.51,0.11,1.14
-0.53,0.11,1.14
-0.55,0.11,1.16
-0.57,0.11,1.17
-0.58,0.11,1.17
-0.6,0.11,1.18
-0.63,0.11,1.19
-0.64,0.11,1.2
-0.66,0.11,1.21
-0.67,0.11,1.21
-0.68,0.12,1.22
-0.7,0.12,1.23
-0.73,0.12,1.24
-0.74,0.12,1.25
-0.75,0.12,1.26
-0.76,0.12,1.26
-0.79,0.12,1.28
-0.8,0.13,1.29
-0.81,0.13,1.29
-0.83,0.13,1.3
-0.84,0.13,1.31
-0.86,0.13,1.32
-0.87,0.13,1.33
-0.88,0.13,1.34
-0.89,0.13,1.35
-0.9,0.13,1.36
-0.92,0.12,1.37
-0.93,0.12,1.38
-0.94,0.12,1.39
-0.95,0.12,1.4
-0.96,0.12,1.41
-0.9899999,0.11,1.42
-1,0.11,1.43
-1.01,0.11,1.44
-1.02,0.11,1.45
-1.02,0.09999999,1.46
-1.03,0.09999999,1.47
-1.05,0.09999999,1.48
-1.06,0.09999999,1.49
-1.07,0.09999999,1.5
-1.08,0.09999999,1.51
-1.1,0.09999999,1.53
-1.11,0.11,1.53
-1.12,0.11,1.54
-1.13,0.11,1.55
-1.14,0.12,1.56
-1.17,0.12,1.57
-1.17,0.12,1.58
-1.18,0.12,1.59
-1.2,0.12,1.59
-1.21,0.13,1.6
-1.23,0.13,1.61
-1.24,0.13,1.61
-1.25,0.13,1.62
-1.26,0.13,1.62
-1.27,0.13,1.63
-1.29,0.13,1.64
-1.3,0.13,1.64
-1.31,0.13,1.64
-1.31,0.13,1.65
-1.32,0.13,1.65
-1.34,0.13,1.66
-1.35,0.13,1.66
-1.35,0.13,1.66
-1.36,0.13,1.66
-1.37,0.13,1.66
-1.38,0.13,1.67
-1.39,0.14,1.67
-1.39,0.14,1.67
-1.4,0.14,1.68
-1.4,0.14,1.68
-1.41,0.14,1.68
-1.42,0.14,1.68
-1.42,0.14,1.68
-1.43,0.14,1.68
-1.43,0.14,1.68
-1.43,0.14,1.69
-1.43,0.14,1.69
-1.44,0.14,1.69
-1.44,0.14,1.69
-1.44,0.14,1.69
-1.44,0.14,1.7
-1.44,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
